Country_Code,gdp_2024
NRU,160350640
MHL,280357844
KIR,307862547
FSM,471425099
DMA,688881481
STP,764274043
KNA,1066681481
WSM,1068025244
VCT,1157207407
VUT,1161251868
GRD,1391435993
COM,1546164420
SXM,1735210228
TCA,1745378000
SLB,1760767447
TLS,1881265333
GNB,2119865935
BDI,2162378759
SYC,2167239562
ATG,2224814815
LSO,2271541846
GMB,2507519958
LCA,2549062963
CAF,2751544520
CPV,2767599017
BLZ,3515783329
AND,4039844390
DJI,4086402719
SUR,4714267822
LBR,4750000000
SWZ,4891883720
FJI,5840564073
MDV,6975146349
BRB,7165000000
SLE,7547843281
MNE,8069536126
BMU,8980200000
TGO,9925732120
MRT,10766731874
MWI,11008925323
XKX,11148602233
PSS,11977251414
SOM,12108515110
GNQ,12765777677
NAM,13372354269
PSE,13711100000
TJK,14204575549
RWA,14251642231
MUS,14952555415
BRN,15463134387
COG,15719985776
BHS,15832800000
LAO,16502933121
MKD,16685236492
MDG,17420814801
KGZ,17478259659
MDA,18200340854
BWA,19400774882
NER,19537639288
NIC,19693982968
JAM,19930288337
TCD,20625711665
GAB,20867044936
BEN,21482643720
MOZ,22416650343
BFA,23250214910
MNG,23586055802
MLT,24322006608
GUY,24835899826
HTI,25224154991
GIN,25334307879
ARM,25786585950
ZMB,26325775287
TTO,26428963758
MLI,26588067731
ALB,27177735528
BIH,28343394203
SEN,32267254425
PNG,32538480024
ISL,33462807983
GEO,33776141251
SLV,35364960000
CYP,36333022329
HND,37093565854
EST,42764929169
NPL,42914268287
LVA,43520773851
ZWE,44187704410
PRY,44458118400
KHM,46352647035
LBY,46636278902
BHR,47736702128
BOL,49668296744
SDN,49909807030
MAC,50183212761
CMR,51326764685
JOR,53352289577
TUN,53409988745
UGA,53651874314
TKM,64239891739
COD,70749355652
SVN,72485008929
MMR,74079772652
AZE,74315882353
BLR,75961865472
TZA,78779864877
AGO,80396942242
URY,80961511074
GHA,82825288889
LTU,84869215513
PAN,86260400000
CIV,86538413923
SRB,89083506277
CSS,91570798876
HRV,92526176109
LUX,93197329012
CRI,95350423177
LKA,98963185510
OMN,106942782835
BGR,112211952704
GTM,113199586004
UZB,114965293467
DOM,124282245639
KEN,124498691699
ECU,124676074700
PRI,125841500000
SVK,141775733420
MAR,154430996473
KWT,160227273001
NGA,187759703100
UKR,190741263732
OSS,205790426260
QAT,217982967033
HUN,222904723252
GRC,257144811302
NZL,260235932559
DZA,263619794507
IRQ,279641257615
KAZ,288406138231
PER,289221969060
FIN,299835625551
PRT,308683317393
SST,309361541401
CHL,330267137372
CZE,345036675975
PAK,373071855732
ROU,382767571329
EGY,389059911004
ZAF,400260724226
HKG,407106738445
COL,418542042920
MYS,421972102254
DNK,429457372072
IRN,436906331672
BGD,450119424622
PHL,461617509782
LIC,466541517790
VNM,476388230307
NOR,483727398216
AUT,521642466922
THA,526411265428
ARE,537078829135
ISR,540379921262
SGP,547386645892
IRL,577389475010
SWE,610117791237
ARG,633266692534
BEL,664564181487
AFW,670025655310
POL,914696430325
CHE,936564198049
IDB,1060004843955
HPC,1132303151467
AFE,1205973813871
NLD,1227543925316
SAU,1237529866667
TUR,1323254808059
IDN,1396300098191
PRE,1426898998277
LDC,1495340734265
FCS,1700322737100
ESP,1722745978335
SSA,1745534471319
AUS,1752193307380
IDX,1762363031560
MEX,1852722885258
SSF,1860829213452
TSS,1860829213452
TMN,2139861115660
MNA,2153572215660
RUS,2173835806672
BRA,2179412080829
CAN,2241253230970
ITA,2372774547793
ECA,2421839057172
CEB,2455559190577
IDA,2807015624603
FRA,3162079073496
GBR,3643834188783
ARB,3704768275596
IND,3912686168582
JPN,4026210821147
SAS,4514924632400
TSA,4514924632400
DEU,4659929336891
MEA,5025772564328
TEC,6097876994311
LAC,6146374383733
TLA,6977493595927
LCN,7313631690223
LMC,7857490239272
EAR,16021674099782
EMU,16406126934436
CHN,18743803170827
EUU,19423319451330
TEA,22233410782171
EAP,22260874526758
ECS,29146936906252
USA,29184890000000
LTE,29910723278949
UMC,30891808644564
NAC,31435123430970
EAS,31882663454357
MIC,38748293620690
LMY,39216943108499
IBD,41102217227752
IBT,43918119394039
PST,63040640005163
OED,67687054565878
HIC,71522995943824
WLD,111252997846886
